,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,ostrovnoy,68.05,39.51,37.5,72,2,7.16
1,mahebourg,-20.41,57.7,78.8,74,75,11.41
2,qaanaaq,77.48,-69.36,22.2,73,25,2.37
3,zhuhai,40.71,112.04,44.6,39,0,4.47
4,cape town,-33.93,18.42,55.99,76,20,8.05
5,atuona,-9.8,-139.03,81.96,76,78,16.49
6,flinders,-34.58,150.85,60.01,62,0,11.41
8,tiksi,71.64,128.87,14.1,88,95,15.7
9,pushkinskiye gory,57.02,28.91,65.04,70,6,6.93
10,aykhal,65.95,111.51,39.2,48,90,11.18
11,castro,-42.48,-73.76,48.2,70,0,9.17
12,avarua,-21.21,-159.78,71.6,94,100,2.24
13,saskylakh,71.97,114.09,4.92,91,0,2.26
14,constitucion,23.99,-104.67,84.2,4,5,16.11
15,albany,42.65,-73.75,82.4,45,40,12.75
16,vilyuysk,63.75,121.63,34.62,59,16,5.84
17,ushuaia,-54.81,-68.31,44.6,75,75,36.91
18,bambous virieux,-20.34,57.76,78.8,74,75,11.41
19,kodinsk,58.6,99.18,48.84,81,14,4.97
20,teknaf,20.86,92.31,84.66,85,1,8.23
21,busselton,-33.64,115.35,55.0,63,84,12.86
22,ambon,47.55,-2.56,64.99,93,11,5.82
23,maragogi,-9.01,-35.22,83.94,69,97,9.42
24,fallon,46.84,-105.12,51.8,53,90,18.34
25,kantang,7.42,99.52,78.8,94,20,6.93
26,colonelganj,27.13,81.7,94.2,14,0,5.08
27,punta arenas,-53.16,-70.91,50.0,61,40,46.08
28,rikitea,-23.12,-134.97,74.58,76,95,12.82
29,new norfolk,-42.78,147.06,57.99,66,40,5.82
31,qingdao,36.09,120.35,59.0,54,0,2.24
32,port hardy,50.7,-127.42,53.6,87,90,5.82
33,arman,59.7,150.17,31.56,64,0,5.3
34,mamakan,57.82,114.02,31.38,90,26,2.82
35,bethel,60.79,-161.76,51.8,71,20,4.68
36,clinton,41.84,-90.19,55.4,54,75,10.29
37,varhaug,58.61,5.65,64.99,63,0,8.05
38,ayan,40.67,33.6,56.94,58,76,0.54
39,mayor pablo lagerenza,-19.93,-60.77,91.86,33,43,14.9
40,hermanus,-34.42,19.24,55.0,74,9,23.78
41,torbay,47.66,-52.73,48.0,65,75,24.16
42,yellowknife,62.45,-114.38,55.4,26,75,8.05
43,kruisfontein,-34.0,24.73,55.68,69,92,16.53
44,puerto ayora,-0.74,-90.35,79.0,86,26,5.99
45,rosita,13.92,-84.4,84.12,71,72,4.41
46,beloha,-25.17,45.06,70.08,85,100,10.0
47,port elizabeth,39.31,-74.98,93.0,46,20,12.75
48,port alfred,-33.59,26.89,61.0,69,67,8.01
49,garchitorena,13.88,123.7,84.3,75,59,6.11
50,kodiak,39.95,-94.76,53.01,63,1,8.05
51,mar del plata,-46.43,-67.52,50.1,33,5,18.52
52,taybad,34.74,60.78,80.16,18,78,4.88
53,cabo san lucas,22.89,-109.91,91.0,34,5,11.41
54,tiarei,-17.53,-149.33,84.2,70,20,10.29
55,khatanga,71.98,102.47,9.96,92,10,10.94
56,pisco,-13.71,-76.2,75.99,30,0,11.41
57,kolyvan,55.31,82.74,48.2,87,0,4.47
58,hofn,64.25,-15.21,48.2,81,90,6.93
59,bontang,0.12,117.47,74.22,99,54,2.62
60,sault sainte marie,46.49,-84.36,50.0,61,1,14.99
61,zhigansk,66.77,123.37,27.24,84,97,8.77
62,thompson,55.74,-97.86,57.2,35,75,3.36
63,pevek,69.7,170.27,26.16,71,93,4.65
64,nanortalik,60.14,-45.24,43.08,72,29,4.68
65,bilibino,68.06,166.44,27.6,89,93,6.29
66,dikson,73.51,80.55,20.22,85,12,12.15
67,hambantota,6.12,81.12,80.6,100,40,3.36
68,beja,38.02,-7.87,71.6,49,20,14.99
69,fortuna,38.18,-1.13,69.8,77,20,4.7
70,ponta do sol,-20.63,-46.0,73.68,57,0,5.32
71,qasigiannguit,68.82,-51.19,33.8,86,90,4.7
72,butaritari,3.07,172.79,83.94,77,55,9.13
73,virginia beach,36.85,-75.98,91.0,48,40,10.29
74,hobyo,5.35,48.53,83.58,71,91,13.49
75,saint george,39.45,22.34,75.2,33,40,11.41
76,pontes e lacerda,-15.23,-59.33,88.44,41,41,3.71
77,khor,47.88,134.96,54.96,94,100,7.36
78,crotone,39.09,17.12,62.6,67,20,10.29
79,baglung,28.27,83.59,54.24,58,11,2.66
80,raglan,-37.8,174.87,48.99,53,99,1.99
81,jamestown,-33.21,138.6,54.78,52,84,5.86
82,sur,22.57,59.53,88.26,57,66,14.83
83,araouane,18.9,-3.53,100.14,18,77,15.1
84,emerald,-23.53,148.16,60.8,82,0,6.93
85,launceston,-41.43,147.14,55.0,93,40,14.99
86,nikolskoye,59.7,30.79,69.01,56,20,4.47
87,ambilobe,-13.19,49.05,74.76,92,2,4.52
88,cidreira,-30.17,-50.22,76.56,66,0,5.5
89,ternate,14.29,120.72,86.0,74,20,1.12
90,tarauaca,-8.16,-70.77,90.06,47,48,1.43
91,bella vista,-28.51,-59.05,75.66,80,62,7.29
92,xichang,27.88,102.25,49.74,91,19,2.46
93,antioch,38.0,-121.81,64.99,63,40,10.29
94,najran,17.54,44.22,69.8,77,75,11.41
95,agirish,61.92,63.02,32.82,88,100,9.1
96,mataura,-46.19,168.86,48.0,88,58,1.99
97,katsuura,33.93,134.5,66.2,93,90,5.82
98,shalinskoye,55.72,93.76,53.7,63,66,7.83
99,barrow,-38.31,-60.23,59.64,59,100,13.38
100,sorong,-0.86,131.25,77.28,93,95,2.01
101,kingston,44.23,-76.48,70.0,63,75,19.46
102,ketchikan,55.34,-131.65,55.4,76,1,17.22
103,kapaa,22.08,-159.32,80.6,74,20,10.29
104,mbigou,-1.9,11.91,72.6,94,70,1.63
105,yakeshi,49.28,120.73,46.86,48,100,20.31
106,hilo,19.71,-155.08,79.0,69,40,4.7
107,whitehorse,60.72,-135.06,64.0,36,40,3.36
108,bonthe,7.53,-12.5,85.38,70,63,9.78
109,bara,10.41,10.6,96.54,25,45,4.99
110,lompoc,34.64,-120.46,66.99,63,75,12.75
111,port blair,11.67,92.75,85.2,71,99,7.18
112,bredasdorp,-34.53,20.04,55.0,62,0,8.05
113,thinadhoo,0.53,72.93,85.02,76,100,17.0
114,koumac,-20.56,164.28,74.4,68,0,12.86
115,faanui,-16.48,-151.75,82.86,74,61,11.59
116,xam nua,20.42,104.04,67.38,98,100,2.17
117,east london,-33.02,27.91,60.8,72,20,27.51
118,sao filipe,14.9,-24.5,72.96,84,2,16.91
119,deputatskiy,69.3,139.9,8.52,82,47,3.31
120,chuy,-33.69,-53.46,65.58,91,96,13.78
121,sitka,37.17,-99.65,48.99,98,100,11.99
122,forio,40.73,13.86,62.6,77,75,6.93
123,russkaya polyana,53.78,73.88,45.24,80,100,6.76
124,san felipe,-32.75,-70.73,51.01,95,37,1.01
125,arraial do cabo,-22.97,-42.02,84.2,78,0,4.7
126,margate,-43.03,147.26,57.99,66,40,5.82
127,aklavik,68.22,-135.01,55.4,50,75,3.09
128,lokosovo,61.13,74.84,44.52,68,100,9.17
129,paita,-5.09,-81.11,62.6,290,0,17.22
130,cravo norte,6.3,-70.2,85.02,67,100,3.09
131,motygino,58.18,94.69,49.2,84,85,5.23
132,west wendover,40.74,-114.07,51.8,66,40,4.7
133,adrar,27.87,-0.29,89.6,17,40,28.86
134,melfi,41.0,15.66,59.0,87,20,10.29
135,kibaya,-2.2,30.56,66.2,88,75,3.36
136,iqaluit,63.75,-68.52,33.8,86,90,6.93
137,lavrentiya,65.58,-170.99,28.32,95,31,6.4
138,morondava,-20.3,44.28,79.08,69,0,9.06
139,vaini,15.34,74.49,78.9,88,0,1.59
140,georgetown,6.8,-58.16,82.4,83,75,11.41
141,sanchazi,30.43,103.62,64.4,82,0,2.24
142,sarai mir,26.02,82.92,86.0,35,0,3.36
143,yichun,47.72,128.88,41.64,98,89,3.58
144,plainview,34.18,-101.71,84.99,37,40,18.34
145,comodoro rivadavia,-45.87,-67.48,55.4,37,0,16.11
146,nardaran,40.56,50.01,66.2,52,40,19.46
147,nagua,19.37,-69.85,89.6,70,75,6.93
148,ibra,22.69,58.55,87.18,41,100,17.4
149,ganzhou,25.86,114.93,64.32,66,1,3.42
150,talnakh,69.49,88.39,15.8,92,75,29.08
151,coahuayana,18.62,-100.35,100.5,22,1,4.38
152,sinnamary,5.38,-52.96,82.5,81,100,10.96
153,porto novo,-23.68,-45.44,77.0,53,20,4.7
154,havoysund,71.0,24.66,39.2,80,20,24.16
155,bjornevatn,69.67,29.98,37.4,93,75,20.8
156,narsaq,60.91,-46.05,57.2,28,20,9.17
157,charlestown,41.38,-71.64,87.01,64,1,12.75
158,trat,12.25,102.51,91.0,70,93,1.88
159,manado,1.49,124.85,73.4,100,40,4.97
160,trapani,38.02,12.54,66.2,72,20,17.22
161,sao joao da barra,-21.64,-41.05,86.0,55,40,3.36
162,saint-philippe,45.36,-73.48,75.0,53,75,29.97
163,haines junction,60.75,-137.51,51.18,48,11,7.23
164,kathmandu,27.71,85.32,71.6,73,75,6.67
